,country,happiness_score,happiness_rank
0,Finland,7.808700085,1
1,Denmark,7.645599842,2
2,Switzerland,7.559899807000001,3
3,Iceland,7.504499912000001,4
4,Norway,7.487999916000001,5
5,Netherlands,7.448900223,6
6,Sweden,7.353499889,7
7,New Zealand,7.2996001239999995,8
8,Austria,7.294199944,9
9,Canada,7.23210001,11
10,Dominican Republic,5.6891999239999995,68
11,Greece,5.514999866,77
12,Malaysia,5.384300232,82
13,Vietnam,5.353499889,83
14,Indonesia,5.285600185,84
15,Turkey,5.131800175,93
16,Morocco,5.094799995,97
17,South Africa,4.814099789,109
18,Egypt,4.151400089,138
19,India,3.573299885,144
