,Position,Track Name,Artist,Streams,URL,Date,Region
2400874,1,Starboy,The Weeknd,3311,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,is
2400875,2,Silfurskotta,Emmsjé Gauti,2292,https://open.spotify.com/track/7LyQvc6mjRxBS5XRC0bTHV,2017-01-01,is
2400876,3,I Feel It Coming,The Weeknd,2247,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,is
2400877,4,Let Me Love You,DJ Snake,2128,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,is
2400878,5,Reykjavík,Emmsjé Gauti,2114,https://open.spotify.com/track/4N2Xtuy20ewSeznRQcX6G4,2017-01-01,is
2400879,6,Black Beatles,Rae Sremmurd,2096,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,is
2400880,7,One Dance,Drake,2059,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,is
2400881,8,Say You Won't Let Go,James Arthur,2056,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,is
2400882,9,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1952,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,is
2400883,10,Fröken Reykjavík,Friðrik Dór,1928,https://open.spotify.com/track/6YmjtvXrdpD1VUUW5hznQp,2017-01-01,is
2400884,11,Lítur vel út,Aron Can,1892,https://open.spotify.com/track/39jfJXs2uYHmpU3zotxEkj,2017-01-01,is
2400885,12,Fake Love,Drake,1795,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,is
2400886,13,Bad and Boujee (feat. Lil Uzi Vert),Migos,1763,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01,is
2400887,14,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1679,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,is
2400888,15,Cheap Thrills,Sia,1597,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-01,is
2400889,16,Enginn Mórall,Aron Can,1593,https://open.spotify.com/track/52BcFhIYD7mIajoeCHMHd9,2017-01-01,is
2400890,17,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1590,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,is
2400891,18,Svona er þetta,Emmsjé Gauti,1509,https://open.spotify.com/track/1Lj3IxnXEMEULqW400cjio,2017-01-01,is
2400892,19,Call On Me - Ryan Riback Extended Remix,Starley,1443,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,is
2400893,20,Don't Wanna Know,Maroon 5,1412,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,is
2400894,21,Closer,The Chainsmokers,1382,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,is
2400895,22,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1351,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,is
2400896,23,Vor í Vaglaskógi,Kaleo,1348,https://open.spotify.com/track/2OdpZeTpnbqPqBrclk2pib,2017-01-01,is
2400897,24,Negla,XXX Rottweiler hundar,1301,https://open.spotify.com/track/50OuWHjxD7Ux6CRVt6OYNp,2017-01-01,is
2400898,25,Rúllupp,Aron Can,1295,https://open.spotify.com/track/1I9BYf0I1HShuSoKnMnWwK,2017-01-01,is
2400899,26,24K Magic,Bruno Mars,1241,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,is
2400900,27,Panda,Desiigner,1227,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2017-01-01,is
2400901,28,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1164,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,2017-01-01,is
2400902,29,Heathens,Twenty One Pilots,1155,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01,is
2400903,30,Mercy,Shawn Mendes,1086,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,is
2400904,31,Love Yourself,Justin Bieber,1082,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,2017-01-01,is
2400905,32,Don't Let Me Down,The Chainsmokers,1074,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,is
2400906,33,Side To Side,Ariana Grande,1061,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01,is
2400907,34,Treat You Better,Shawn Mendes,1030,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,is
2400908,35,Starving,Hailee Steinfeld,1029,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01,is
2400909,36,Final Song,MØ,1017,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,2017-01-01,is
2400910,37,What Do You Mean?,Justin Bieber,1014,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,2017-01-01,is
2400911,1,Starboy,The Weeknd,3771,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-02,is
2400912,2,Say You Won't Let Go,James Arthur,2961,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-02,is
2400913,3,I Feel It Coming,The Weeknd,2900,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-02,is
2400914,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2711,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-02,is
2400915,5,Let Me Love You,DJ Snake,2551,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,is
2400916,6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2528,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-02,is
2400917,7,Fake Love,Drake,2374,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-02,is
2400918,8,Silfurskotta,Emmsjé Gauti,2265,https://open.spotify.com/track/7LyQvc6mjRxBS5XRC0bTHV,2017-01-02,is
2400919,9,Lítur vel út,Aron Can,2247,https://open.spotify.com/track/39jfJXs2uYHmpU3zotxEkj,2017-01-02,is
2400920,10,Black Beatles,Rae Sremmurd,2183,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-02,is
2400921,11,Call On Me - Ryan Riback Extended Remix,Starley,2175,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-02,is
2400922,12,Bad and Boujee (feat. Lil Uzi Vert),Migos,2159,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-02,is
2400923,13,Don't Wanna Know,Maroon 5,2118,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-02,is
2400924,14,Fröken Reykjavík,Friðrik Dór,2099,https://open.spotify.com/track/6YmjtvXrdpD1VUUW5hznQp,2017-01-02,is
