,Position,Track Name,Artist,Streams,URL,Date,Region
3320440,1,Starboy,The Weeknd,2059,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,lv
3320441,2,Closer,The Chainsmokers,1775,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,lv
3320442,3,Let Me Love You,DJ Snake,1522,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,lv
3320443,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1475,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,lv
3320444,5,Black Beatles,Rae Sremmurd,1442,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,lv
3320445,6,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1411,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,lv
3320446,7,I Feel It Coming,The Weeknd,1372,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,lv
3320447,8,Say You Won't Let Go,James Arthur,1366,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,lv
3320448,9,Fake Love,Drake,1255,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,lv
3320449,10,One Dance,Drake,1232,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,lv
3320450,11,Call On Me - Ryan Riback Extended Remix,Starley,1217,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,lv
3320451,12,Don't Wanna Know,Maroon 5,1211,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,lv
3320452,13,All We Know,The Chainsmokers,1163,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,lv
3320453,14,Tuesday,Burak Yeter,1144,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-01,lv
3320454,15,In the Name of Love,Martin Garrix,1096,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,lv
3320455,16,Just Hold On,Steve Aoki,1030,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,lv
3320456,17,Starving,Hailee Steinfeld,1029,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01,lv
3320457,18,All Night,The Vamps,1016,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-01,lv
3320458,1,Starboy,The Weeknd,2834,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-02,lv
3320459,2,Closer,The Chainsmokers,2243,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-02,lv
3320460,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2165,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-02,lv
3320461,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1971,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-02,lv
3320462,5,I Feel It Coming,The Weeknd,1935,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-02,lv
3320463,6,Let Me Love You,DJ Snake,1929,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,lv
3320464,7,Call On Me - Ryan Riback Extended Remix,Starley,1820,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-02,lv
3320465,8,Fake Love,Drake,1746,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-02,lv
3320466,9,Black Beatles,Rae Sremmurd,1725,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-02,lv
3320467,10,Say You Won't Let Go,James Arthur,1713,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-02,lv
3320468,11,All We Know,The Chainsmokers,1709,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-02,lv
3320469,12,Don't Wanna Know,Maroon 5,1665,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-02,lv
3320470,13,Starving,Hailee Steinfeld,1595,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-02,lv
3320471,14,In the Name of Love,Martin Garrix,1560,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-02,lv
3320472,15,Just Hold On,Steve Aoki,1522,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-02,lv
3320473,16,All Night,The Vamps,1455,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-02,lv
3320474,17,Tuesday,Burak Yeter,1432,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-02,lv
3320475,18,Bad Things (with Camila Cabello),Machine Gun Kelly,1431,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-02,lv
3320476,19,Love Me Now,John Legend,1402,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-02,lv
3320477,20,One Dance,Drake,1386,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-02,lv
3320478,21,Sunset Lover,Petit Biscuit,1337,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-02,lv
3320479,22,The Mack,Nevada,1293,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2017-01-02,lv
3320480,23,Now and Later,Sage The Gemini,1231,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-02,lv
3320481,24,Shed a Light,Robin Schulz,1228,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2017-01-02,lv
3320482,25,I Would Like,Zara Larsson,1219,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,2017-01-02,lv
3320483,26,Scars To Your Beautiful,Alessia Cara,1208,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-02,lv
3320484,27,By Your Side,Jonas Blue,1208,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-02,lv
3320485,28,Heathens,Twenty One Pilots,1193,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-02,lv
3320486,29,24K Magic,Bruno Mars,1186,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-02,lv
3320487,30,Bad and Boujee (feat. Lil Uzi Vert),Migos,1174,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-02,lv
3320488,31,Weak,AJR,1165,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-01-02,lv
3320489,32,Mercy,Shawn Mendes,1157,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-02,lv
3320490,33,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1154,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-02,lv
3320491,34,Hear Me Now,Alok,1131,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-02,lv
3320492,35,All Time Low,Jon Bellion,1067,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-01-02,lv
3320493,36,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1052,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2017-01-02,lv
3320494,37,My Way,Calvin Harris,1044,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-02,lv
3320495,38,Solo Dance,Martin Jensen,1023,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-01-02,lv
3320496,39,Cheap Thrills,Sia,1018,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-02,lv
3320497,40,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1013,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2017-01-02,lv
3320498,41,Alone,Alan Walker,1003,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-02,lv
3320499,1,Starboy,The Weeknd,2903,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-03,lv
3320500,2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2598,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-03,lv
3320501,3,Closer,The Chainsmokers,2365,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-03,lv
3320502,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2159,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-03,lv
3320503,5,Say You Won't Let Go,James Arthur,2113,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-03,lv
3320504,6,I Feel It Coming,The Weeknd,2055,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-03,lv
3320505,7,Call On Me - Ryan Riback Extended Remix,Starley,2026,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-03,lv
3320506,8,Let Me Love You,DJ Snake,1987,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-03,lv
3320507,9,Don't Wanna Know,Maroon 5,1930,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-03,lv
3320508,10,All We Know,The Chainsmokers,1892,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-03,lv
3320509,11,Fake Love,Drake,1792,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-03,lv
3320510,12,Just Hold On,Steve Aoki,1752,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-03,lv
3320511,13,All Night,The Vamps,1744,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-03,lv
3320512,14,Black Beatles,Rae Sremmurd,1708,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-03,lv
3320513,15,Love Me Now,John Legend,1692,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-03,lv
3320514,16,Bad Things (with Camila Cabello),Machine Gun Kelly,1636,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-03,lv
3320515,17,Starving,Hailee Steinfeld,1635,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-03,lv
3320516,18,Tuesday,Burak Yeter,1538,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-03,lv
3320517,19,In the Name of Love,Martin Garrix,1533,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-03,lv
3320518,20,I Would Like,Zara Larsson,1514,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,2017-01-03,lv
3320519,21,Now and Later,Sage The Gemini,1480,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-03,lv
3320520,22,The Mack,Nevada,1469,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2017-01-03,lv
3320521,23,Shed a Light,Robin Schulz,1459,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2017-01-03,lv
3320522,24,Weak,AJR,1420,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2017-01-03,lv
3320523,25,Sunset Lover,Petit Biscuit,1413,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-03,lv
3320524,26,Hear Me Now,Alok,1403,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-03,lv
3320525,27,All Time Low,Jon Bellion,1401,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2017-01-03,lv
3320526,28,Scars To Your Beautiful,Alessia Cara,1335,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-03,lv
3320527,29,By Your Side,Jonas Blue,1306,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-03,lv
3320528,30,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,1296,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2017-01-03,lv
3320529,31,One Dance,Drake,1296,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-03,lv
3320530,32,Mercy,Shawn Mendes,1288,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-03,lv
3320531,33,"How Far I'll Go - From ""Moana""",Alessia Cara,1263,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,2017-01-03,lv
3320532,34,24K Magic,Bruno Mars,1221,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-03,lv
3320533,35,Bad and Boujee (feat. Lil Uzi Vert),Migos,1215,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-03,lv
3320534,36,Lot to Learn,Luke Christopher,1203,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,2017-01-03,lv
3320535,37,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1176,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-03,lv
3320536,38,Heathens,Twenty One Pilots,1175,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-03,lv
3320537,39,Solo Dance,Martin Jensen,1166,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-01-03,lv
3320538,40,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,1139,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,2017-01-03,lv
3320539,41,Some Kind Of Drug,G-Eazy,1107,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF,2017-01-03,lv
3320540,42,Make Me (Cry),Noah Cyrus,1102,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,2017-01-03,lv
3320541,43,Lighthouse - Andrelli Remix,Hearts & Colors,1101,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,2017-01-03,lv
3320542,44,Light,San Holo,1089,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn,2017-01-03,lv
3320543,45,I Got You,Bebe Rexha,1072,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,2017-01-03,lv
3320544,46,Setting Fires,The Chainsmokers,1035,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,2017-01-03,lv
3320545,47,Not Going Home,DVBBS,1032,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61,2017-01-03,lv
3320546,48,My Way,Calvin Harris,1014,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-03,lv
3320547,1,Starboy,The Weeknd,2789,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-04,lv
3320548,2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2296,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-04,lv
3320549,3,Closer,The Chainsmokers,2267,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-04,lv
3320550,4,I Feel It Coming,The Weeknd,2086,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-04,lv
3320551,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1954,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-04,lv
3320552,6,Say You Won't Let Go,James Arthur,1918,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-04,lv
3320553,7,Let Me Love You,DJ Snake,1832,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-04,lv
3320554,8,All We Know,The Chainsmokers,1825,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-04,lv
3320555,9,Fake Love,Drake,1772,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-04,lv
3320556,10,Call On Me - Ryan Riback Extended Remix,Starley,1748,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-04,lv
3320557,11,Black Beatles,Rae Sremmurd,1721,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-04,lv
3320558,12,Don't Wanna Know,Maroon 5,1660,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-04,lv
3320559,13,Starving,Hailee Steinfeld,1597,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-04,lv
