,Position,Track Name,Artist,Streams,URL,Date,Region
445200,1,Starboy,The Weeknd,2583,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,lt
445201,2,I Feel It Coming,The Weeknd,2257,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,lt
445202,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1972,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,lt
445203,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1961,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,lt
445204,5,Closer,The Chainsmokers,1944,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,lt
445205,6,Don't Wanna Know,Maroon 5,1795,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,lt
445206,7,Call On Me - Ryan Riback Extended Remix,Starley,1731,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,lt
445207,8,Let Me Love You,DJ Snake,1710,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,lt
445208,9,Black Beatles,Rae Sremmurd,1474,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,lt
445209,10,One Dance,Drake,1414,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,lt
445210,11,Just Hold On,Steve Aoki,1387,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,lt
445211,12,Fake Love,Drake,1378,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,lt
445212,13,Say You Won't Let Go,James Arthur,1359,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,lt
445213,14,All We Know,The Chainsmokers,1270,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,lt
445214,15,All Night,The Vamps,1269,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-01,lt
445215,16,Tuesday,Burak Yeter,1252,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-01,lt
445216,17,Alone,Alan Walker,1180,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,lt
445217,18,Starving,Hailee Steinfeld,1179,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01,lt
445218,19,Now and Later,Sage The Gemini,1170,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-01,lt
445219,20,In the Name of Love,Martin Garrix,1135,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,lt
445220,21,Hear Me Now,Alok,1120,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-01,lt
445221,22,Bad Things (with Camila Cabello),Machine Gun Kelly,1097,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01,lt
445222,23,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1088,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,lt
445223,24,Love Me Now,John Legend,1071,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-01,lt
445224,25,By Your Side,Jonas Blue,1024,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-01,lt
445225,26,My Way,Calvin Harris,1020,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,lt
