,Position,Track Name,Artist,Streams,URL,Date,Region
3038345,1,Starboy,The Weeknd,1020,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,lu
3038346,1,Starboy,The Weeknd,1312,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-02,lu
3038347,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1171,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-02,lu
3038348,3,Let Me Love You,DJ Snake,1040,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,lu
3038349,1,Starboy,The Weeknd,1335,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-03,lu
3038350,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1185,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-03,lu
3038351,3,Closer,The Chainsmokers,1087,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-03,lu
3038352,4,Call On Me - Ryan Riback Extended Remix,Starley,1070,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-03,lu
3038353,5,Let Me Love You,DJ Snake,1066,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-03,lu
3038354,6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1060,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-03,lu
3038355,7,Say You Won't Let Go,James Arthur,1060,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-03,lu
3038356,1,Starboy,The Weeknd,1394,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-04,lu
3038357,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1169,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-04,lu
3038358,3,Closer,The Chainsmokers,1157,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-04,lu
3038359,4,Say You Won't Let Go,James Arthur,1051,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-04,lu
3038360,5,Let Me Love You,DJ Snake,1023,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-04,lu
3038361,6,Call On Me - Ryan Riback Extended Remix,Starley,1003,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-04,lu
3038362,1,Starboy,The Weeknd,1352,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-05,lu
3038363,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1224,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-05,lu
3038364,3,Closer,The Chainsmokers,1132,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-05,lu
