,Position,Track Name,Artist,Streams,URL,Date,Region
2732400,1,Starboy,The Weeknd,2197,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,sk
2732401,2,Closer,The Chainsmokers,1777,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,sk
2732402,3,Let Me Love You,DJ Snake,1732,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,sk
2732403,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1714,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,sk
2732404,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1511,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,sk
2732405,6,I Feel It Coming,The Weeknd,1289,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,sk
2732406,7,Don't Wanna Know,Maroon 5,1276,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,sk
2732407,8,Just Hold On,Steve Aoki,1245,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,sk
2732408,9,Black Beatles,Rae Sremmurd,1234,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,sk
2732409,10,Say You Won't Let Go,James Arthur,1179,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,sk
2732410,11,Call On Me - Ryan Riback Extended Remix,Starley,1176,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,sk
2732411,12,Heathens,Twenty One Pilots,1171,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01,sk
2732412,13,My Way,Calvin Harris,1163,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,sk
2732413,14,In the Name of Love,Martin Garrix,1119,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,sk
2732414,15,All We Know,The Chainsmokers,1094,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,sk
2732415,16,One Dance,Drake,1090,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,sk
2732416,17,Treat You Better,Shawn Mendes,1046,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,sk
2732417,18,24K Magic,Bruno Mars,1030,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,sk
2732418,19,Mercy,Shawn Mendes,1025,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,sk
2732419,1,Starboy,The Weeknd,2746,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-02,sk
2732420,2,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2435,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-02,sk
2732421,3,Closer,The Chainsmokers,2195,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-02,sk
2732422,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2185,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-02,sk
2732423,5,Let Me Love You,DJ Snake,2113,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,sk
2732424,6,I Feel It Coming,The Weeknd,1852,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-02,sk
2732425,7,Don't Wanna Know,Maroon 5,1825,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-02,sk
2732426,8,Just Hold On,Steve Aoki,1730,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-02,sk
2732427,9,Say You Won't Let Go,James Arthur,1700,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-02,sk
2732428,10,Call On Me - Ryan Riback Extended Remix,Starley,1685,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-02,sk
2732429,11,Black Beatles,Rae Sremmurd,1599,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-02,sk
2732430,12,In the Name of Love,Martin Garrix,1466,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-02,sk
2732431,13,All We Know,The Chainsmokers,1454,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-02,sk
2732432,14,My Way,Calvin Harris,1431,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-02,sk
2732433,15,Heathens,Twenty One Pilots,1428,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-02,sk
2732434,16,Starving,Hailee Steinfeld,1375,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-02,sk
2732435,17,Mercy,Shawn Mendes,1357,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-02,sk
2732436,18,All Night,The Vamps,1354,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-02,sk
2732437,19,Fake Love,Drake,1335,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-02,sk
2732438,20,24K Magic,Bruno Mars,1284,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-02,sk
2732439,21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1257,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-02,sk
2732440,22,Now and Later,Sage The Gemini,1253,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-02,sk
2732441,23,One Dance,Drake,1248,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-02,sk
2732442,24,Bad Things (with Camila Cabello),Machine Gun Kelly,1243,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-02,sk
2732443,25,By Your Side,Jonas Blue,1191,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-02,sk
2732444,26,Human,Rag'n'Bone Man,1186,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,2017-01-02,sk
2732445,27,The Mack,Nevada,1160,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,2017-01-02,sk
2732446,28,Love Me Now,John Legend,1143,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-02,sk
