,position,streams,date,url,track_name,artist,region
0,1,28564,2020-01-01,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M,Roller,Apache 207,at
1,2,26466,2020-01-01,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,at
2,3,16105,2020-01-01,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,at
3,4,15409,2020-01-01,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW,Vor der Tür,Gzuz,at
4,5,14481,2020-01-01,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD,Skifahren (feat. Joshi Mizu),"The Cratez, Bausa, Maxwell",at
5,6,14206,2020-01-01,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,at
6,7,13883,2020-01-01,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj,KEIN SCHLAF,"Nimo, Hava",at
7,8,13780,2020-01-01,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,at
8,9,13254,2020-01-01,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC,110,"Capital Bra, Samra, LEA",at
9,10,12559,2020-01-01,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi,Nur zur Info,Ufo361,at
10,11,12022,2020-01-01,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,at
11,12,11989,2020-01-01,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,at
12,13,11805,2020-01-01,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb,COLT,Samra,at
13,14,11800,2020-01-01,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,at
14,15,11676,2020-01-01,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q,200 km/h,Apache 207,at
15,16,11374,2020-01-01,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,at
16,17,11233,2020-01-01,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,at
17,18,11090,2020-01-01,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP,Der Bratan bleibt der gleiche,Capital Bra,at
18,19,10966,2020-01-01,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89,Wieso tust Du dir das an?,Apache 207,at
19,20,10962,2020-01-01,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,at
20,21,10917,2020-01-01,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,at
21,22,10608,2020-01-01,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX,Keine Liebe,"RIN, Bausa",at
22,23,10140,2020-01-01,https://open.spotify.com/track/58cWbqYLz06X69SqJiYeky,100%,"Senidah, RAF Camora",at
23,24,10050,2020-01-01,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,at
24,25,9807,2020-01-01,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO,Puta Madre - Bonustrack,RAF Camora,at
25,26,9754,2020-01-01,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,500 PS,"Bonez MC, RAF Camora",at
26,27,9623,2020-01-01,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,Señorita,"Shawn Mendes, Camila Cabello",at
27,28,9526,2020-01-01,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,at
28,29,9513,2020-01-01,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU,Tilidin,"Capital Bra, Samra",at
29,30,9421,2020-01-01,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b,2002,"Sido, Apache 207",at
30,31,9068,2020-01-01,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV,Alien,RIN,at
31,32,8841,2020-01-01,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud,Honda Civic,"The Cratez, Bonez MC",at
32,33,8729,2020-01-01,https://open.spotify.com/track/3uTiW4Tjt6FqSPRYNgzW5t,KARMA,Nimo,at
33,34,8718,2020-01-01,https://open.spotify.com/track/26FNTVsgF4m31xvDgFfhGW,Mit Dir,Loredana,at
34,35,8273,2020-01-01,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,at
