,position,streams,date,url,track_name,artist,region
0,1,253141,2020-01-01,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,ca
1,2,212879,2020-01-01,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,ca
2,3,208066,2020-01-01,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,The Box,Roddy Ricch,ca
3,4,181023,2020-01-01,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,ca
4,5,130935,2020-01-01,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,ca
5,6,128552,2020-01-01,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,ca
6,7,124660,2020-01-01,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,ca
7,8,124020,2020-01-01,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,ca
8,9,119567,2020-01-01,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,ca
9,10,113779,2020-01-01,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,Señorita,"Shawn Mendes, Camila Cabello",ca
10,11,112880,2020-01-01,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,ca
11,12,110072,2020-01-01,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",ca
12,13,108648,2020-01-01,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,ca
13,14,107537,2020-01-01,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,BOP,DaBaby,ca
14,15,107415,2020-01-01,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,ca
15,16,104416,2020-01-01,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,ca
16,17,96873,2020-01-01,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,ca
17,18,96103,2020-01-01,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,ca
18,19,94494,2020-01-01,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,ca
19,20,94304,2020-01-01,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,ca
20,21,89496,2020-01-01,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,ca
21,22,88059,2020-01-01,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,ca
22,23,86213,2020-01-01,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,ca
23,24,85758,2020-01-01,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",ca
24,25,83077,2020-01-01,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",ca
25,26,80278,2020-01-01,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Harry Styles,ca
26,27,79960,2020-01-01,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,ca
