"Position","Track Name","Artist","Streams","URL","Date","Region"
"4","Havana","Camila Cabello","8492","https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb","2017-08-23","hk"
"5","Shape of You","Ed Sheeran","8306","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2017-08-23","hk"
"6","2U (feat. Justin Bieber)","David Guetta","8290","https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M","2017-08-23","hk"
"7","New Rules","Dua Lipa","8199","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2017-08-23","hk"
"8","Attention","Charlie Puth","8009","https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv","2017-08-23","hk"
"9","Sorry Not Sorry","Demi Lovato","7676","https://open.spotify.com/track/25C5CowdsfXld2jJanbiex","2017-08-23","hk"
"10","Feels","Calvin Harris","7603","https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke","2017-08-23","hk"
"11","Strip That Down","Liam Payne","7154","https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ","2017-08-23","hk"
"12","Something Just Like This","The Chainsmokers","6998","https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW","2017-08-23","hk"
"13","Without You (feat. Sandro Cavazza)","Avicii","6767","https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE","2017-08-23","hk"
"14","Lonely Together (feat. Rita Ora)","Avicii","6703","https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab","2017-08-23","hk"
"15","Mama","Jonas Blue","6671","https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w","2017-08-23","hk"
"16","I'm the One","DJ Khaled","6524","https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817","2017-08-23","hk"
"17","Silence","Marshmello","6031","https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU","2017-08-23","hk"
"18","There for You","Martin Garrix","5999","https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y","2017-08-23","hk"
"19","Glorious (feat. Skylar Grey)","Macklemore","5710","https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR","2017-08-23","hk"
