,position,streams,date,url,track_name,artist,region
18250,1,54223,2020-01-01,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv,PUB G (feat. Branco & Larry 44),LOLO,dk
18251,2,42893,2020-01-01,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,dk
18252,3,42384,2020-01-01,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW,Sektion (feat. Branco & Gilli),Benny Jamz,dk
18253,4,41187,2020-01-01,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw,Kærlighed (feat. Gilli & Kesi),ATYPISK,dk
18254,5,39104,2020-01-01,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,dk
18255,6,33727,2020-01-01,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT,Ben,Tessa,dk
18256,7,33288,2020-01-01,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,dk
18257,8,32670,2020-01-01,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3,Flytilstand,Benny Jamz,dk
18258,9,32617,2020-01-01,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ,London Town,"Branco, Gilli",dk
18259,10,32254,2020-01-01,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,dk
18260,11,29606,2020-01-01,https://open.spotify.com/track/7IlYDWKUtjuQ1xPf6KAzWc,Shopping (feat. Kesi & Stepz),Benny Jamz,dk
18261,12,29456,2020-01-01,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH,VERDEN VENDER,"Branco, Gilli",dk
18262,13,28642,2020-01-01,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8,Sjakalina,Tessa,dk
18263,14,27324,2020-01-01,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0,Balou,Benny Jamz,dk
18264,15,26352,2020-01-01,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,dk
18265,16,26054,2020-01-01,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,dk
18266,17,25974,2020-01-01,https://open.spotify.com/track/7iXrDMiAinSZpD1M6zyBKY,Fuck Af (feat. Milbo),Fie Laursen,dk
18267,18,25933,2020-01-01,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,dk
18268,19,25659,2020-01-01,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb,Vai Amor,Gilli,dk
18269,20,25652,2020-01-01,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,dk
18270,21,25514,2020-01-01,https://open.spotify.com/track/75Hf8NalfY33oZQG2YN00K,Automatic (feat. Gilli),Benny Jamz,dk
18271,22,25073,2020-01-01,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,dk
18272,23,24010,2020-01-01,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P,Super Mario,NODE,dk
18273,24,23696,2020-01-01,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM,Lærte Hende Alt (feat. Lærke Emilie),ATYPISK,dk
18274,25,23614,2020-01-01,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,dk
18275,26,23443,2020-01-01,https://open.spotify.com/track/0zBMtSOjcH2YX00HLB8vMM,Halle Berry (feat. Branco),Benny Jamz,dk
18276,27,23239,2020-01-01,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,dk
18277,28,22739,2020-01-01,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,dk
18278,29,22525,2020-01-01,https://open.spotify.com/track/78GzgdLQcF5yo7Mq5rRoSi,Fugazi (feat. Stepz),Benny Jamz,dk
18279,30,22422,2020-01-01,https://open.spotify.com/track/0VKxgUrRPmRX9r1k7SocHl,Alarm,Benny Jamz,dk
18280,31,22227,2020-01-01,https://open.spotify.com/track/2TivM8M4vgL1mEswDWFlsy,Interlude - Finlandsparken,Jamaika,dk
18281,32,22084,2020-01-01,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,dk
18282,33,21462,2020-01-01,https://open.spotify.com/track/7oDJQ7yBOybRtcOPMbOPTC,Ny Sæson,Benny Jamz,dk
18283,34,21243,2020-01-01,https://open.spotify.com/track/5B6QJikgE2fsGpR1BBkapc,Brandvarm,Josef Og Elias,dk
18284,35,21114,2020-01-01,https://open.spotify.com/track/2vjKei86vFPZBodhXEqEmX,Unz Unz,"Specktors, Nonsens",dk
18285,36,20442,2020-01-01,https://open.spotify.com/track/332HLjESTywYrDN5is9mdT,Dobbelt (feat. Dayzon),Jamaika,dk
