,Position,Track Name,Artist,Streams,URL,Date,Region
684599,1,Starboy,The Weeknd,1950,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,ee
684600,2,Tuesday,Burak Yeter,1727,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-01,ee
684601,3,Closer,The Chainsmokers,1692,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,ee
684602,4,Alone,Alan Walker,1649,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-01,ee
684603,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1638,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,ee
684604,6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1629,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,ee
684605,7,Black Beatles,Rae Sremmurd,1427,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,ee
684606,8,Say You Won't Let Go,James Arthur,1353,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,ee
684607,9,I Feel It Coming,The Weeknd,1328,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,ee
684608,10,Let Me Love You,DJ Snake,1296,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,ee
684609,11,Call On Me - Ryan Riback Extended Remix,Starley,1179,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,ee
684610,12,In the Name of Love,Martin Garrix,1136,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,ee
684611,13,Don't Wanna Know,Maroon 5,1131,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,ee
684612,14,Rooftop,NOËP,1104,https://open.spotify.com/track/39MsGu3FUJ5mofWxTvDL1A,2017-01-01,ee
684613,15,All We Know,The Chainsmokers,1076,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,ee
684614,16,One Dance,Drake,1058,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,ee
684615,17,Fake Love,Drake,1017,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,ee
684616,18,Just Hold On,Steve Aoki,1015,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,ee
684617,1,Starboy,The Weeknd,2580,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-02,ee
684618,2,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2287,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-02,ee
684619,3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2075,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-02,ee
684620,4,Closer,The Chainsmokers,2070,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-02,ee
684621,5,Tuesday,Burak Yeter,2066,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR,2017-01-02,ee
684622,6,I Feel It Coming,The Weeknd,1867,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-02,ee
684623,7,Alone,Alan Walker,1837,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,2017-01-02,ee
684624,8,Say You Won't Let Go,James Arthur,1740,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-02,ee
684625,9,Call On Me - Ryan Riback Extended Remix,Starley,1682,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-02,ee
684626,10,Black Beatles,Rae Sremmurd,1677,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-02,ee
684627,11,Let Me Love You,DJ Snake,1648,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,ee
684628,12,Don't Wanna Know,Maroon 5,1573,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-02,ee
684629,13,Just Hold On,Steve Aoki,1461,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-02,ee
684630,14,All We Know,The Chainsmokers,1432,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-02,ee
684631,15,Starving,Hailee Steinfeld,1409,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-02,ee
684632,16,In the Name of Love,Martin Garrix,1385,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-02,ee
684633,17,Rooftop,NOËP,1355,https://open.spotify.com/track/39MsGu3FUJ5mofWxTvDL1A,2017-01-02,ee
684634,18,Bad Things (with Camila Cabello),Machine Gun Kelly,1325,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-02,ee
684635,19,Fake Love,Drake,1311,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-02,ee
684636,20,Shed a Light,Robin Schulz,1220,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,2017-01-02,ee
684637,21,One Dance,Drake,1199,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-02,ee
684638,22,Now and Later,Sage The Gemini,1189,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,2017-01-02,ee
684639,23,Heathens,Twenty One Pilots,1136,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-02,ee
684640,24,Sunset Lover,Petit Biscuit,1083,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2017-01-02,ee
684641,25,All Night,The Vamps,1080,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-02,ee
684642,26,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1074,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-02,ee
684643,27,Lähedal,Karl-Erik Taukar,1055,https://open.spotify.com/track/6An4IIXQmfdJHYWkwY1eLE,2017-01-02,ee
684644,28,Human,Rag'n'Bone Man,1048,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,2017-01-02,ee
684645,29,Hear Me Now,Alok,1048,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2017-01-02,ee
684646,30,Mercy,Shawn Mendes,1043,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-02,ee
684647,31,My Way,Calvin Harris,1019,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-02,ee
684648,1,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2636,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-03,ee
684649,2,Starboy,The Weeknd,2618,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-03,ee
684650,3,Closer,The Chainsmokers,2186,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-03,ee
684651,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2175,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-03,ee
