,position,streams,date,url,track_name,artist,region
0,1,39681,2020-01-01,https://open.spotify.com/track/0tc8HGXosQDC8TTAaON1TP,Hei rakas,BEHM,fi
1,2,31179,2020-01-01,https://open.spotify.com/track/3eHkFrUUGYuwEgIPRPtW9L,Pintakaasulla,JVG,fi
2,3,30339,2020-01-01,https://open.spotify.com/track/4gEvvWYAF3yzv9hEY9f3oy,Luota Muhun,ibe,fi
3,4,30208,2020-01-01,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,fi
4,5,28966,2020-01-01,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,fi
5,6,27508,2020-01-01,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,fi
6,7,25561,2020-01-01,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,fi
7,8,23612,2020-01-01,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,fi
8,9,21897,2020-01-01,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU,Ikuinen vappu,JVG,fi
9,10,21703,2020-01-01,https://open.spotify.com/track/6Rs9Zhrvu1jHTvBm4MypAx,Jeesei,"Gettomasa, Paperi T, Lauri Haav",fi
10,11,21514,2020-01-01,https://open.spotify.com/track/3XlrrR3tR56dRC2sgNNhOD,[email protected]%#mikko,Pyhimys,fi
11,12,18285,2020-01-01,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,fi
12,13,18220,2020-01-01,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,fi
13,14,17987,2020-01-01,https://open.spotify.com/track/2vdsyiA0RcYs3C9VMnmYac,Teipillä tai rakkaudella,ABREU,fi
14,15,17886,2020-01-01,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,fi
15,16,17775,2020-01-01,https://open.spotify.com/track/4jQ9Nd33d2MWbQ5zJwBUTe,Valo pimeän,Pyhimys,fi
16,17,17608,2020-01-01,https://open.spotify.com/track/5XPxQRtCa8FHfrO8mzutAq,Muistuta mua,Pyhimys,fi
17,18,17492,2020-01-01,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,fi
18,19,16950,2020-01-01,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,fi
19,20,16721,2020-01-01,https://open.spotify.com/track/4ASbWGCzKRYA07lqDfouYu,Surullinen Klovni,"MKDMSK, Pyhimys",fi
20,21,16424,2020-01-01,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,fi
21,22,15906,2020-01-01,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h,Some Say,Nea,fi
22,23,15460,2020-01-01,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,blackbear,fi
23,24,15227,2020-01-01,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV,Salt,Ava Max,fi
24,25,15173,2020-01-01,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II","Alan Walker, Ava Max",fi
25,26,15162,2020-01-01,https://open.spotify.com/track/1AsF6nriSPlKqxi9xVIMdW,Avasin Mun Silmät,MKDMSK,fi
26,27,14854,2020-01-01,https://open.spotify.com/track/1z4jCtA9thODROr8aMdcyP,Japanese Drip,"Kube, Cledos",fi
