,Position,Track Name,Artist,Streams,URL,Date,Region
3339805,1,Starboy,The Weeknd,4209,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,gr
3339806,2,Let Me Love You,DJ Snake,2467,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,gr
3339807,3,Closer,The Chainsmokers,2450,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-01,gr
3339808,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2183,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-01,gr
3339809,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2045,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-01,gr
3339810,6,One Dance,Drake,2006,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-01,gr
3339811,7,Fake Love,Drake,1938,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-01,gr
3339812,8,Black Beatles,Rae Sremmurd,1936,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-01,gr
3339813,9,I Feel It Coming,The Weeknd,1861,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,gr
3339814,10,Don't Wanna Know,Maroon 5,1836,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-01,gr
3339815,11,24K Magic,Bruno Mars,1641,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-01,gr
3339816,12,Treat You Better,Shawn Mendes,1641,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-01,gr
3339817,13,Side To Side,Ariana Grande,1614,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01,gr
3339818,14,In the Name of Love,Martin Garrix,1535,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-01,gr
3339819,15,Heathens,Twenty One Pilots,1504,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-01,gr
3339820,16,Say You Won't Let Go,James Arthur,1504,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-01,gr
3339821,17,Party Monster,The Weeknd,1488,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,2017-01-01,gr
3339822,18,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1459,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-01,gr
3339823,19,Just Hold On,Steve Aoki,1458,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,gr
3339824,20,Call On Me - Ryan Riback Extended Remix,Starley,1455,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-01,gr
3339825,21,Don't Let Me Down,The Chainsmokers,1408,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,2017-01-01,gr
3339826,22,Starving,Hailee Steinfeld,1296,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,2017-01-01,gr
3339827,23,Chantaje,Shakira,1277,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-01,gr
3339828,24,Cheap Thrills,Sia,1245,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-01,gr
3339829,25,Mercy,Shawn Mendes,1243,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,2017-01-01,gr
3339830,26,All We Know,The Chainsmokers,1199,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,2017-01-01,gr
3339831,27,All Night,The Vamps,1113,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,2017-01-01,gr
3339832,28,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1109,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,2017-01-01,gr
3339833,29,I Would Like,Zara Larsson,1081,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,2017-01-01,gr
3339834,30,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1075,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,2017-01-01,gr
3339835,31,Bad Things (with Camila Cabello),Machine Gun Kelly,1069,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,2017-01-01,gr
3339836,32,Panda,Desiigner,1055,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,2017-01-01,gr
3339837,33,Work from Home,Fifth Harmony,1038,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-01,gr
3339838,34,Scars To Your Beautiful,Alessia Cara,1022,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,2017-01-01,gr
3339839,35,By Your Side,Jonas Blue,1018,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,2017-01-01,gr
3339840,36,Love Me Now,John Legend,1017,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,2017-01-01,gr
3339841,37,Bad and Boujee (feat. Lil Uzi Vert),Migos,1009,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,2017-01-01,gr
3339842,38,My Way,Calvin Harris,1004,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,2017-01-01,gr
3339843,39,Sidewalks,The Weeknd,1001,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,2017-01-01,gr
3339844,1,Starboy,The Weeknd,4835,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-02,gr
3339845,2,Let Me Love You,DJ Snake,2637,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-02,gr
3339846,3,Closer,The Chainsmokers,2634,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-02,gr
3339847,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2554,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-02,gr
3339848,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2503,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-01-02,gr
3339849,6,Fake Love,Drake,2443,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-01-02,gr
3339850,7,One Dance,Drake,2181,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,2017-01-02,gr
3339851,8,Black Beatles,Rae Sremmurd,2131,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,2017-01-02,gr
3339852,9,I Feel It Coming,The Weeknd,2128,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-01-02,gr
3339853,10,Don't Wanna Know,Maroon 5,2005,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-02,gr
3339854,11,Just Hold On,Steve Aoki,1903,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-02,gr
3339855,12,Side To Side,Ariana Grande,1801,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-02,gr
3339856,13,24K Magic,Bruno Mars,1794,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,2017-01-02,gr
3339857,14,Call On Me - Ryan Riback Extended Remix,Starley,1792,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,2017-01-02,gr
3339858,15,Say You Won't Let Go,James Arthur,1762,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-01-02,gr
3339859,16,Treat You Better,Shawn Mendes,1746,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,2017-01-02,gr
3339860,17,In the Name of Love,Martin Garrix,1705,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,2017-01-02,gr
3339861,18,Chantaje,Shakira,1700,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,2017-01-02,gr
3339862,19,Heathens,Twenty One Pilots,1611,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,2017-01-02,gr
3339863,20,Party Monster,The Weeknd,1608,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,2017-01-02,gr
3339864,21,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1578,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,2017-01-02,gr
